"random SMD","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"cognitive training:neurofeedback",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.18299999999999,0,0,52.817,0,0
"cognitive training:psychoeducation",5.4542,4.5004,0,0,0,0.7983,4.1102,6.0548,7.156,0,1.4913,0,0,0,2.0394,0,0.7482,0,0,20.79,42.0676,3.9911000000000003,0.7983
"cognitive training:relaxation therapy",3.3532,0.1435,0,0,0,0.492,0.1311,0.1931,0.2282,0,0.0476,0,0,0,1.2538,0,17.5777,0,0,0.3717,53.074,22.6423,0.492
"cognitive training:sham + neurofeedback",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.134699999999995,0,0,52.8654,0,0
"cognitive training:waiting list",18.6103,0.5407,0,0,0,1.9025,0.4938,0.7274,0.8597,0,0.1792,0,0,0,6.9587,0,1.7984,0,0,1.4003,53.017300000000006,11.5993,1.9025
"hypnotherapy:TAU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.44,0,0,0,0,58.56,0,0
"hypnotherapy:mindfulness",9.8654,2.9304,0,0,0,1.266,7.2643,10.7011,4.6596,0,2.6357,0,0,0,3.6889,0,1.1877,0,0,7.59,40.1691,6.7759,1.266
"hypnotherapy:mindfulness + TAU",0,0,0,0,0,0,0,0,0,29.0495,0,0,0,0,0,29.0495,0,0,0,0,41.900999999999996,0,0
"hypnotherapy:neurofeedback",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.997299999999996,0,0,53.002599999999994,0,0
"hypnotherapy:psychoeducation",5.4229,4.479,0,0,0,0.7983,4.0907,6.026,7.1219,0,1.4842,0,0,0,2.0277,0,0.7477,0,0,20.79,42.235,3.9783,0.7983
"hypnotherapy:relaxation therapy",3.3532,0.1431,0,0,0,0.492,0.1307,0.1926,0.2276,0,0.0474,0,0,0,1.2538,0,17.4789,0,0,0.3707,53.2595,22.558500000000002,0.492
